county,city,office,district,candidate,party,votes
Waldo,FRANKFORT,President,,Ross Anderson,JUS (wri),0
Waldo,FREEDOM,President,,Ross Anderson,JUS (wri),2
Waldo,ISLESBORO,President,,Ross Anderson,JUS (wri),0
Waldo,JACKSON,President,,Ross Anderson,JUS (wri),0
Waldo,KNOX,President,,Ross Anderson,JUS (wri),0
Waldo,LIBERTY,President,,Ross Anderson,JUS (wri),0
Waldo,LINCOLNVILLE,President,,Ross Anderson,JUS (wri),0
Waldo,MONROE,President,,Ross Anderson,JUS (wri),0
Waldo,MONTVILLE,President,,Ross Anderson,JUS (wri),0
Waldo,MORRILL,President,,Ross Anderson,JUS (wri),0
Waldo,NORTHPORT,President,,Ross Anderson,JUS (wri),0
Waldo,PALERMO,President,,Ross Anderson,JUS (wri),0
Waldo,PROSPECT,President,,Ross Anderson,JUS (wri),0
Waldo,SEARSMONT,President,,Ross Anderson,JUS (wri),0
Waldo,SEARSPORT,President,,Ross Anderson,JUS (wri),0
Waldo,STOCKTON SPRINGS,President,,Ross Anderson,JUS (wri),0
Waldo,SWANVILLE,President,,Ross Anderson,JUS (wri),0
Waldo,THORNDIKE,President,,Ross Anderson,JUS (wri),0
Waldo,TROY,President,,Ross Anderson,JUS (wri),0
Waldo,UNITY,President,,Ross Anderson,JUS (wri),0
Waldo,WALDO,President,,Ross Anderson,JUS (wri),1
Waldo,WINTERPORT,President,,Ross Anderson,JUS (wri),0
Washington,ADDISON,President,,Ross Anderson,JUS (wri),0
Washington,ALEXANDER,President,,Ross Anderson,JUS (wri),0
Washington,BAILEYVILLE,President,,Ross Anderson,JUS (wri),0
Washington,BARING PLT,President,,Ross Anderson,JUS (wri),0
Washington,BEALS,President,,Ross Anderson,JUS (wri),0
Washington,BEDDINGTON,President,,Ross Anderson,JUS (wri),0
Washington,BEDDINGTON TWPS ,President,,Ross Anderson,JUS (wri),0
Washington,BROOKTON TWP,President,,Ross Anderson,JUS (wri),0
Washington,CALAIS,President,,Ross Anderson,JUS (wri),0
Washington,CENTERVILLE TWP ,President,,Ross Anderson,JUS (wri),0
Washington,CHARLOTTE,President,,Ross Anderson,JUS (wri),0
Washington,CHERRYFIELD,President,,Ross Anderson,JUS (wri),2
Washington,COLUMBIA,President,,Ross Anderson,JUS (wri),0
Washington,COLUMBIA FALLS,President,,Ross Anderson,JUS (wri),0
Washington,COOPER,President,,Ross Anderson,JUS (wri),0
Washington,COOPER TWP ,President,,Ross Anderson,JUS (wri),0
Washington,CRAWFORD,President,,Ross Anderson,JUS (wri),0
Washington,CUTLER,President,,Ross Anderson,JUS (wri),0
Washington,DANFORTH,President,,Ross Anderson,JUS (wri),0
Washington,DEBLOIS,President,,Ross Anderson,JUS (wri),0
Washington,DENNYSVILLE,President,,Ross Anderson,JUS (wri),0
Washington,EAST MACHIAS,President,,Ross Anderson,JUS (wri),0
Washington,EASTPORT,President,,Ross Anderson,JUS (wri),0
Washington,EDMUNDS TWP,President,,Ross Anderson,JUS (wri),1
Washington,GRAND LAKE STREAM PLT,President,,Ross Anderson,JUS (wri),0
Washington,HARRINGTON,President,,Ross Anderson,JUS (wri),0
Washington,INDIAN TOWNSHIP,President,,Ross Anderson,JUS (wri),0
Washington,JONESBORO,President,,Ross Anderson,JUS (wri),0
Washington,JONESPORT,President,,Ross Anderson,JUS (wri),0
Washington,LUBEC,President,,Ross Anderson,JUS (wri),0
Washington,MACHIAS,President,,Ross Anderson,JUS (wri),0
Washington,MACHIASPORT,President,,Ross Anderson,JUS (wri),0
Washington,MARSHFIELD,President,,Ross Anderson,JUS (wri),0
Washington,MEDDYBEMPS,President,,Ross Anderson,JUS (wri),0
Washington,MILBRIDGE,President,,Ross Anderson,JUS (wri),0
Washington,NORTHFIELD,President,,Ross Anderson,JUS (wri),0
Washington,PEMBROKE,President,,Ross Anderson,JUS (wri),0
Washington,PERRY,President,,Ross Anderson,JUS (wri),0
Washington,PLEASANT PT VOTING DIS,President,,Ross Anderson,JUS (wri),0
Washington,PRINCETON,President,,Ross Anderson,JUS (wri),0
Washington,ROBBINSTON,President,,Ross Anderson,JUS (wri),0
Washington,ROQUE BLUFFS,President,,Ross Anderson,JUS (wri),0
Washington,STEUBEN,President,,Ross Anderson,JUS (wri),0
Washington,T10 SD ,President,,Ross Anderson,JUS (wri),0
Washington,TALMADGE,President,,Ross Anderson,JUS (wri),0
Washington,TOPSFIELD,President,,Ross Anderson,JUS (wri),0
Washington,VANCEBORO,President,,Ross Anderson,JUS (wri),0
Washington,WAITE,President,,Ross Anderson,JUS (wri),0
Washington,WESLEY,President,,Ross Anderson,JUS (wri),0
Washington,WESLEY TWPS ,President,,Ross Anderson,JUS (wri),0
Washington,WHITING,President,,Ross Anderson,JUS (wri),0
Washington,WHITNEYVILLE,President,,Ross Anderson,JUS (wri),0
York,ACTON,President,,Ross Anderson,JUS (wri),0
York,ALFRED,President,,Ross Anderson,JUS (wri),0
York,ARUNDEL,President,,Ross Anderson,JUS (wri),0
York,BERWICK,President,,Ross Anderson,JUS (wri),0
York,BIDDEFORD,President,,Ross Anderson,JUS (wri),0
York,BUXTON,President,,Ross Anderson,JUS (wri),0
York,CORNISH,President,,Ross Anderson,JUS (wri),1
York,DAYTON,President,,Ross Anderson,JUS (wri),0
York,ELIOT,President,,Ross Anderson,JUS (wri),0
York,HOLLIS,President,,Ross Anderson,JUS (wri),0
York,KENNEBUNK,President,,Ross Anderson,JUS (wri),0
York,KENNEBUNKPORT,President,,Ross Anderson,JUS (wri),0
York,KITTERY,President,,Ross Anderson,JUS (wri),0
York,LEBANON,President,,Ross Anderson,JUS (wri),0
York,LIMERICK,President,,Ross Anderson,JUS (wri),0
York,LIMINGTON,President,,Ross Anderson,JUS (wri),0
York,LYMAN,President,,Ross Anderson,JUS (wri),0
York,NEWFIELD,President,,Ross Anderson,JUS (wri),0
York,NORTH BERWICK,President,,Ross Anderson,JUS (wri),0
York,OGUNQUIT,President,,Ross Anderson,JUS (wri),0
York,OLD ORCHARD BEACH,President,,Ross Anderson,JUS (wri),0
York,PARSONSFIELD,President,,Ross Anderson,JUS (wri),0
York,SACO,President,,Ross Anderson,JUS (wri),1
York,SANFORD,President,,Ross Anderson,JUS (wri),0
York,SHAPLEIGH,President,,Ross Anderson,JUS (wri),0
York,SOUTH BERWICK,President,,Ross Anderson,JUS (wri),1
York,WATERBORO,President,,Ross Anderson,JUS (wri),0
York,WELLS,President,,Ross Anderson,JUS (wri),0
York,YORK,President,,Ross Anderson,JUS (wri),0
Androscoggin,AUBURN,President,,Ron Paul,R (wri),41
Androscoggin,DURHAM,President,,Ron Paul,R (wri),13
Androscoggin,GREENE,President,,Ron Paul,R (wri),0
Androscoggin,LEEDS,President,,Ron Paul,R (wri),3
Androscoggin,LEWISTON,President,,Ron Paul,R (wri),70
Androscoggin,LISBON,President,,Ron Paul,R (wri),25
Androscoggin,LIVERMORE,President,,Ron Paul,R (wri),4
Androscoggin,LIVERMORE FALLS,President,,Ron Paul,R (wri),5
Androscoggin,MECHANIC FALLS,President,,Ron Paul,R (wri),7
Androscoggin,MINOT,President,,Ron Paul,R (wri),5
Androscoggin,POLAND,President,,Ron Paul,R (wri),9
Androscoggin,SABATTUS,President,,Ron Paul,R (wri),1
Androscoggin,TURNER,President,,Ron Paul,R (wri),6
Androscoggin,WALES,President,,Ron Paul,R (wri),5
Aroostook,ALLAGASH,President,,Ron Paul,R (wri),0
Aroostook,AMITY,President,,Ron Paul,R (wri),3
Aroostook,ASHLAND,President,,Ron Paul,R (wri),1
Aroostook,BANCROFT,President,,Ron Paul,R (wri),0
Aroostook,BLAINE,President,,Ron Paul,R (wri),0
Aroostook,BRIDGEWATER,President,,Ron Paul,R (wri),0
Aroostook,CARIBOU,President,,Ron Paul,R (wri),14
Aroostook,CARY PLT,President,,Ron Paul,R (wri),0
Aroostook,CASTLE HILL,President,,Ron Paul,R (wri),1
Aroostook,CASWELL,President,,Ron Paul,R (wri),0
Aroostook,CHAPMAN,President,,Ron Paul,R (wri),0
Aroostook,CONNOR TWP,President,,Ron Paul,R (wri),0
Aroostook,CRYSTAL,President,,Ron Paul,R (wri),0
Aroostook,CYR PLT,President,,Ron Paul,R (wri),0
Aroostook,DYER BROOK,President,,Ron Paul,R (wri),2
Aroostook,E TWP,President,,Ron Paul,R (wri),0
Aroostook,EAGLE LAKE,President,,Ron Paul,R (wri),0
Aroostook,EASTON,President,,Ron Paul,R (wri),3
Aroostook,FORT FAIRFIELD,President,,Ron Paul,R (wri),8
Aroostook,FORT KENT,President,,Ron Paul,R (wri),10
Aroostook,FORT KENT TWPS ,President,,Ron Paul,R (wri),0
Aroostook,FRENCHVILLE,President,,Ron Paul,R (wri),2
Aroostook,GARFIELD PLT,President,,Ron Paul,R (wri),0
Aroostook,GLENWOOD PLT,President,,Ron Paul,R (wri),0
Aroostook,GRAND ISLE,President,,Ron Paul,R (wri),2
Aroostook,HAMLIN,President,,Ron Paul,R (wri),0
Aroostook,HAMMOND,President,,Ron Paul,R (wri),0
Aroostook,HAYNESVILLE,President,,Ron Paul,R (wri),1
Aroostook,HERSEY,President,,Ron Paul,R (wri),0
Aroostook,HODGDON,President,,Ron Paul,R (wri),0
Aroostook,HOULTON,President,,Ron Paul,R (wri),10
Aroostook,ISLAND FALLS,President,,Ron Paul,R (wri),0
Aroostook,LIMESTONE,President,,Ron Paul,R (wri),4
Aroostook,LINNEUS,President,,Ron Paul,R (wri),0
Aroostook,LITTLETON,President,,Ron Paul,R (wri),1
Aroostook,LUDLOW,President,,Ron Paul,R (wri),0
Aroostook,MACWAHOC PLT,President,,Ron Paul,R (wri),0
Aroostook,MADAWASKA,President,,Ron Paul,R (wri),3
Aroostook,MADAWASKA LAKE TWP,President,,Ron Paul,R (wri),0
Aroostook,MAPLETON,President,,Ron Paul,R (wri),3
Aroostook,MARS HILL,President,,Ron Paul,R (wri),0
Aroostook,MASARDIS,President,,Ron Paul,R (wri),0
Aroostook,MERRILL,President,,Ron Paul,R (wri),0
Aroostook,MONTICELLO,President,,Ron Paul,R (wri),0
Aroostook,MORO PLT,President,,Ron Paul,R (wri),1
Aroostook,MORO PLT TWPS ,President,,Ron Paul,R (wri),0
Aroostook,NASHVILLE PLT,President,,Ron Paul,R (wri),0
Aroostook,NEW CANADA,President,,Ron Paul,R (wri),1
Aroostook,NEW LIMERICK,President,,Ron Paul,R (wri),2
Aroostook,NEW SWEDEN,President,,Ron Paul,R (wri),6
Aroostook,OAKFIELD,President,,Ron Paul,R (wri),0
Aroostook,ORIENT,President,,Ron Paul,R (wri),1
Aroostook,OXBOW PLT,President,,Ron Paul,R (wri),0
Aroostook,PERHAM,President,,Ron Paul,R (wri),0
Aroostook,PORTAGE LAKE,President,,Ron Paul,R (wri),0
Aroostook,PRESQUE ISLE,President,,Ron Paul,R (wri),1
Aroostook,REED PLT,President,,Ron Paul,R (wri),0
Aroostook,SAINT AGATHA,President,,Ron Paul,R (wri),1
Aroostook,SAINT FRANCIS,President,,Ron Paul,R (wri),0
Aroostook,SAINT JOHN PLT,President,,Ron Paul,R (wri),0
Aroostook,SHERMAN,President,,Ron Paul,R (wri),2
Aroostook,SMYRNA,President,,Ron Paul,R (wri),2
Aroostook,STOCKHOLM,President,,Ron Paul,R (wri),0
Aroostook,T11 R4 WELS ,President,,Ron Paul,R (wri),0
Aroostook,T12 R13 ,President,,Ron Paul,R (wri),0
Aroostook,T15 R6 WELS ,President,,Ron Paul,R (wri),0
Aroostook,T15 R9 TWP ,President,,Ron Paul,R (wri),0
Aroostook,TD R2 WELS ,President,,Ron Paul,R (wri),0
Aroostook,VAN BUREN,President,,Ron Paul,R (wri),1
Aroostook,VAN BUREN TWPS ,President,,Ron Paul,R (wri),0
Aroostook,WADE,President,,Ron Paul,R (wri),1
Aroostook,WALLAGRASS,President,,Ron Paul,R (wri),1
Aroostook,WASHBURN,President,,Ron Paul,R (wri),2
Aroostook,WESTFIELD,President,,Ron Paul,R (wri),0
Aroostook,WESTMANLAND,President,,Ron Paul,R (wri),0
Aroostook,WESTON,President,,Ron Paul,R (wri),4
Aroostook,WINTERVILLE PLT,President,,Ron Paul,R (wri),1
Aroostook,WOODLAND,President,,Ron Paul,R (wri),2
Cumberland,BALDWIN,President,,Ron Paul,R (wri),1
Cumberland,BRIDGTON,President,,Ron Paul,R (wri),13
Cumberland,BRUNSWICK,President,,Ron Paul,R (wri),27
Cumberland,CAPE ELIZABETH,President,,Ron Paul,R (wri),9
Cumberland,CASCO,President,,Ron Paul,R (wri),6
Cumberland,CHEBEAGUE ISLAND,President,,Ron Paul,R (wri),0
Cumberland,CUMBERLAND,President,,Ron Paul,R (wri),6
Cumberland,FALMOUTH,President,,Ron Paul,R (wri),18
Cumberland,FREEPORT,President,,Ron Paul,R (wri),12
Cumberland,FRYE ISLAND,President,,Ron Paul,R (wri),0
Cumberland,GORHAM,President,,Ron Paul,R (wri),32
Cumberland,GRAY,President,,Ron Paul,R (wri),11
Cumberland,HARPSWELL,President,,Ron Paul,R (wri),6
Cumberland,HARRISON,President,,Ron Paul,R (wri),3
Cumberland,LONG ISLAND,President,,Ron Paul,R (wri),0
Cumberland,NAPLES,President,,Ron Paul,R (wri),6
Cumberland,NEW GLOUCESTER,President,,Ron Paul,R (wri),14
Cumberland,NORTH YARMOUTH,President,,Ron Paul,R (wri),2
Cumberland,PORTLAND,President,,Ron Paul,R (wri),76
Cumberland,POWNAL,President,,Ron Paul,R (wri),4
Cumberland,RAYMOND,President,,Ron Paul,R (wri),15
Cumberland,SCARBOROUGH,President,,Ron Paul,R (wri),26
Cumberland,SEBAGO,President,,Ron Paul,R (wri),4
Cumberland,SOUTH PORTLAND,President,,Ron Paul,R (wri),40
Cumberland,STANDISH,President,,Ron Paul,R (wri),12
Cumberland,WESTBROOK,President,,Ron Paul,R (wri),20
Cumberland,WINDHAM,President,,Ron Paul,R (wri),14
Cumberland,YARMOUTH,President,,Ron Paul,R (wri),3
Franklin,AVON,President,,Ron Paul,R (wri),0
Franklin,CARRABASSETT VALLEY,President,,Ron Paul,R (wri),2
Franklin,CARTHAGE,President,,Ron Paul,R (wri),0
Franklin,CHESTERVILLE,President,,Ron Paul,R (wri),0
Franklin,COPLIN PLT,President,,Ron Paul,R (wri),0
Franklin,DALLAS PLT,President,,Ron Paul,R (wri),0
Franklin,EUSTIS,President,,Ron Paul,R (wri),2
Franklin,EUSTIS FRA TWPS ,President,,Ron Paul,R (wri),0
Franklin,FARMINGTON,President,,Ron Paul,R (wri),11
Franklin,FREEMAN TWP ,President,,Ron Paul,R (wri),0
Franklin,INDUSTRY,President,,Ron Paul,R (wri),1
Franklin,JAY,President,,Ron Paul,R (wri),5
Franklin,KINGFIELD,President,,Ron Paul,R (wri),2
Franklin,LANG TWP ,President,,Ron Paul,R (wri),0
Franklin,MADRID TWP ,President,,Ron Paul,R (wri),0
Franklin,NEW SHARON,President,,Ron Paul,R (wri),5
Franklin,NEW VINEYARD,President,,Ron Paul,R (wri),1
Franklin,PHILLIPS,President,,Ron Paul,R (wri),2
Franklin,RANGELEY,President,,Ron Paul,R (wri),2
Franklin,RANGELEY OXF TWPS ,President,,Ron Paul,R (wri),0
Franklin,RANGELEY PLT,President,,Ron Paul,R (wri),0
Franklin,SANDY RIVER PLT,President,,Ron Paul,R (wri),0
Franklin,STRONG,President,,Ron Paul,R (wri),0
Franklin,TEMPLE,President,,Ron Paul,R (wri),1
Franklin,WELD,President,,Ron Paul,R (wri),0
Franklin,WELD TWPS ,President,,Ron Paul,R (wri),0
Franklin,WILTON,President,,Ron Paul,R (wri),0
Franklin,WILTON TWPS ,President,,Ron Paul,R (wri),0
Hancock,AMHERST,President,,Ron Paul,R (wri),2
Hancock,AURORA,President,,Ron Paul,R (wri),0
Hancock,AURORA TWPS ,President,,Ron Paul,R (wri),0
Hancock,BAR HARBOR,President,,Ron Paul,R (wri),5
Hancock,BLUE HILL,President,,Ron Paul,R (wri),3
Hancock,BROOKLIN,President,,Ron Paul,R (wri),1
Hancock,BROOKSVILLE,President,,Ron Paul,R (wri),0
Hancock,BUCKSPORT,President,,Ron Paul,R (wri),9
Hancock,CASTINE,President,,Ron Paul,R (wri),0
Hancock,CRANBERRY ISLES,President,,Ron Paul,R (wri),2
Hancock,DEDHAM,President,,Ron Paul,R (wri),1
Hancock,DEER ISLE,President,,Ron Paul,R (wri),2
Hancock,EASTBROOK,President,,Ron Paul,R (wri),0
Hancock,ELLSWORTH,President,,Ron Paul,R (wri),16
Hancock,FLETCHERS LANDING TWP (T8 SD) ,President,,Ron Paul,R (wri),0
Hancock,FRANKLIN,President,,Ron Paul,R (wri),3
Hancock,FRANKLIN TWPS ,President,,Ron Paul,R (wri),0
Hancock,FRENCHBORO,President,,Ron Paul,R (wri),1
Hancock,GOULDSBORO,President,,Ron Paul,R (wri),1
Hancock,GREAT POND,President,,Ron Paul,R (wri),0
Hancock,GREAT POND TWPS ,President,,Ron Paul,R (wri),0
Hancock,HANCOCK,President,,Ron Paul,R (wri),4
Hancock,LAMOINE,President,,Ron Paul,R (wri),3
Hancock,MARIAVILLE,President,,Ron Paul,R (wri),5
Hancock,MOUNT DESERT,President,,Ron Paul,R (wri),2
Hancock,ORLAND,President,,Ron Paul,R (wri),4
Hancock,OSBORN,President,,Ron Paul,R (wri),0
Hancock,OTIS,President,,Ron Paul,R (wri),0
Hancock,PENOBSCOT,President,,Ron Paul,R (wri),0
Hancock,SEDGWICK,President,,Ron Paul,R (wri),5
Hancock,SORRENTO,President,,Ron Paul,R (wri),1
Hancock,SOUTHWEST HARBOR,President,,Ron Paul,R (wri),2
Hancock,STONINGTON,President,,Ron Paul,R (wri),0
Hancock,SULLIVAN,President,,Ron Paul,R (wri),1
Hancock,SURRY,President,,Ron Paul,R (wri),2
Hancock,SWANS ISLAND,President,,Ron Paul,R (wri),2
Hancock,T3 ND ,President,,Ron Paul,R (wri),0
Hancock,T7 SD ,President,,Ron Paul,R (wri),0
Hancock,TREMONT,President,,Ron Paul,R (wri),0
Hancock,TRENTON,President,,Ron Paul,R (wri),1
Hancock,VERONA ISLAND,President,,Ron Paul,R (wri),1
Hancock,WALTHAM,President,,Ron Paul,R (wri),0
Hancock,WINTER HARBOR,President,,Ron Paul,R (wri),1
Kennebec,ALBION,President,,Ron Paul,R (wri),3
Kennebec,AUGUSTA,President,,Ron Paul,R (wri),29
Kennebec,BELGRADE,President,,Ron Paul,R (wri),4
Kennebec,BENTON,President,,Ron Paul,R (wri),3
Kennebec,CHELSEA,President,,Ron Paul,R (wri),7
Kennebec,CHINA,President,,Ron Paul,R (wri),7
Kennebec,CLINTON,President,,Ron Paul,R (wri),3
Kennebec,FARMINGDALE,President,,Ron Paul,R (wri),6
Kennebec,FAYETTE,President,,Ron Paul,R (wri),1
Kennebec,GARDINER,President,,Ron Paul,R (wri),0
Kennebec,HALLOWELL,President,,Ron Paul,R (wri),6
Kennebec,LITCHFIELD,President,,Ron Paul,R (wri),11
Kennebec,MANCHESTER,President,,Ron Paul,R (wri),5
Kennebec,MONMOUTH,President,,Ron Paul,R (wri),10
Kennebec,MOUNT VERNON,President,,Ron Paul,R (wri),2
Kennebec,OAKLAND,President,,Ron Paul,R (wri),15
Kennebec,PITTSTON,President,,Ron Paul,R (wri),12
Kennebec,RANDOLPH,President,,Ron Paul,R (wri),1
Kennebec,READFIELD,President,,Ron Paul,R (wri),4
Kennebec,ROME,President,,Ron Paul,R (wri),1
Kennebec,SIDNEY,President,,Ron Paul,R (wri),14
Kennebec,VASSALBORO,President,,Ron Paul,R (wri),5
Kennebec,VIENNA,President,,Ron Paul,R (wri),2
Kennebec,WATERVILLE,President,,Ron Paul,R (wri),14
Kennebec,WAYNE,President,,Ron Paul,R (wri),0
Kennebec,WEST GARDINER,President,,Ron Paul,R (wri),2
Kennebec,WINDSOR,President,,Ron Paul,R (wri),8
Kennebec,WINSLOW,President,,Ron Paul,R (wri),13
Kennebec,WINTHROP,President,,Ron Paul,R (wri),2
Knox,APPLETON,President,,Ron Paul,R (wri),0
Knox,CAMDEN,President,,Ron Paul,R (wri),4
Knox,CRIEHAVEN TWP ,President,,Ron Paul,R (wri),0
Knox,CUSHING,President,,Ron Paul,R (wri),0
Knox,FRIENDSHIP,President,,Ron Paul,R (wri),4
Knox,HOPE,President,,Ron Paul,R (wri),2
Knox,ISLE AU HAUT,President,,Ron Paul,R (wri),0
Knox,MATINICUS ISLE PLT,President,,Ron Paul,R (wri),0
Knox,NORTH HAVEN,President,,Ron Paul,R (wri),0
Knox,OWLS HEAD,President,,Ron Paul,R (wri),0
Knox,ROCKLAND,President,,Ron Paul,R (wri),5
Knox,ROCKPORT,President,,Ron Paul,R (wri),0
Knox,SAINT GEORGE,President,,Ron Paul,R (wri),16
Knox,SOUTH THOMASTON,President,,Ron Paul,R (wri),0
Knox,THOMASTON,President,,Ron Paul,R (wri),2
Knox,UNION,President,,Ron Paul,R (wri),5
Knox,VINALHAVEN,President,,Ron Paul,R (wri),2
Knox,WARREN,President,,Ron Paul,R (wri),9
Knox,WASHINGTON,President,,Ron Paul,R (wri),8
Lincoln,ALNA,President,,Ron Paul,R (wri),0
Lincoln,BOOTHBAY,President,,Ron Paul,R (wri),0
Lincoln,BOOTHBAY HARBOR,President,,Ron Paul,R (wri),1
Lincoln,BREMEN,President,,Ron Paul,R (wri),3
Lincoln,BRISTOL,President,,Ron Paul,R (wri),4
Lincoln,DAMARISCOTTA,President,,Ron Paul,R (wri),0
Lincoln,DRESDEN,President,,Ron Paul,R (wri),10
Lincoln,EDGECOMB,President,,Ron Paul,R (wri),4
Lincoln,JEFFERSON,President,,Ron Paul,R (wri),6
Lincoln,MONHEGAN PLT,President,,Ron Paul,R (wri),0
Lincoln,NEWCASTLE,President,,Ron Paul,R (wri),0
Lincoln,NOBLEBORO,President,,Ron Paul,R (wri),0
Lincoln,SOMERVILLE,President,,Ron Paul,R (wri),1
Lincoln,SOUTH BRISTOL,President,,Ron Paul,R (wri),1
Lincoln,SOUTHPORT,President,,Ron Paul,R (wri),0
Lincoln,WALDOBORO,President,,Ron Paul,R (wri),9
Lincoln,WESTPORT ISLAND,President,,Ron Paul,R (wri),0
Lincoln,WHITEFIELD,President,,Ron Paul,R (wri),6
Lincoln,WISCASSET,President,,Ron Paul,R (wri),3
Oxford,ALBANY TWP,President,,Ron Paul,R (wri),1
Oxford,ANDOVER,President,,Ron Paul,R (wri),1
Oxford,ANDOVER TWPS ,President,,Ron Paul,R (wri),0
Oxford,BETHEL,President,,Ron Paul,R (wri),3
Oxford,BROWNFIELD,President,,Ron Paul,R (wri),3
Oxford,BUCKFIELD,President,,Ron Paul,R (wri),6
Oxford,BYRON,President,,Ron Paul,R (wri),0
Oxford,CANTON,President,,Ron Paul,R (wri),4
Oxford,DENMARK,President,,Ron Paul,R (wri),3
Oxford,DIXFIELD,President,,Ron Paul,R (wri),14
Oxford,FRYEBURG,President,,Ron Paul,R (wri),11
Oxford,GILEAD,President,,Ron Paul,R (wri),0
Oxford,GREENWOOD,President,,Ron Paul,R (wri),4
Oxford,HANOVER,President,,Ron Paul,R (wri),0
Oxford,HARTFORD,President,,Ron Paul,R (wri),1
Oxford,HEBRON,President,,Ron Paul,R (wri),3
Oxford,HIRAM,President,,Ron Paul,R (wri),3
Oxford,LINCOLN PLT,President,,Ron Paul,R (wri),0
Oxford,LOVELL,President,,Ron Paul,R (wri),3
Oxford,MAGALLOWAY PLT,President,,Ron Paul,R (wri),0
Oxford,MEXICO,President,,Ron Paul,R (wri),2
Oxford,MILTON TWP ,President,,Ron Paul,R (wri),0
Oxford,NEWRY,President,,Ron Paul,R (wri),0
Oxford,NORWAY,President,,Ron Paul,R (wri),11
Oxford,OTISFIELD,President,,Ron Paul,R (wri),5
Oxford,OXFORD,President,,Ron Paul,R (wri),4
Oxford,PARIS,President,,Ron Paul,R (wri),12
Oxford,PERU,President,,Ron Paul,R (wri),5
Oxford,PORTER,President,,Ron Paul,R (wri),5
Oxford,ROXBURY,President,,Ron Paul,R (wri),4
Oxford,RUMFORD,President,,Ron Paul,R (wri),10
Oxford,STONEHAM,President,,Ron Paul,R (wri),0
Oxford,STOW,President,,Ron Paul,R (wri),2
Oxford,SUMNER,President,,Ron Paul,R (wri),2
Oxford,SWEDEN,President,,Ron Paul,R (wri),0
Oxford,UPTON,President,,Ron Paul,R (wri),0
Oxford,WATERFORD,President,,Ron Paul,R (wri),4
Oxford,WEST PARIS,President,,Ron Paul,R (wri),4
Oxford,WOODSTOCK,President,,Ron Paul,R (wri),2
Penobscot,ALTON,President,,Ron Paul,R (wri),2
Penobscot,ARGYLE TWP ,President,,Ron Paul,R (wri),0
Penobscot,BANGOR,President,,Ron Paul,R (wri),40
Penobscot,BRADFORD,President,,Ron Paul,R (wri),1
Penobscot,BRADLEY,President,,Ron Paul,R (wri),0
Penobscot,BREWER,President,,Ron Paul,R (wri),0
Penobscot,BURLINGTON,President,,Ron Paul,R (wri),0
Penobscot,CARMEL,President,,Ron Paul,R (wri),8
Penobscot,CARROLL PLT,President,,Ron Paul,R (wri),0
Penobscot,CHARLESTON,President,,Ron Paul,R (wri),9
Penobscot,CHESTER,President,,Ron Paul,R (wri),0
Penobscot,CLIFTON,President,,Ron Paul,R (wri),0
Penobscot,CORINNA,President,,Ron Paul,R (wri),4
Penobscot,CORINTH,President,,Ron Paul,R (wri),0
Penobscot,DEXTER,President,,Ron Paul,R (wri),7
Penobscot,DIXMONT,President,,Ron Paul,R (wri),1
Penobscot,DREW PLT,President,,Ron Paul,R (wri),0
Penobscot,EAST MILLINOCKET,President,,Ron Paul,R (wri),1
Penobscot,EAST MILLINOCKET ARO TWPS ,President,,Ron Paul,R (wri),0
Penobscot,EAST MILLINOCKET PEN TWPS ,President,,Ron Paul,R (wri),0
Penobscot,EDDINGTON,President,,Ron Paul,R (wri),2
Penobscot,EDINBURG,President,,Ron Paul,R (wri),0
Penobscot,ENFIELD,President,,Ron Paul,R (wri),0
Penobscot,ETNA,President,,Ron Paul,R (wri),1
Penobscot,EXETER,President,,Ron Paul,R (wri),1
Penobscot,GARLAND,President,,Ron Paul,R (wri),2
Penobscot,GLENBURN,President,,Ron Paul,R (wri),4
Penobscot,GREENBUSH,President,,Ron Paul,R (wri),2
Penobscot,GREENFIELD TWP ,President,,Ron Paul,R (wri),0
Penobscot,HAMPDEN,President,,Ron Paul,R (wri),11
Penobscot,HERMON,President,,Ron Paul,R (wri),8
Penobscot,HOLDEN,President,,Ron Paul,R (wri),0
Penobscot,HOWLAND,President,,Ron Paul,R (wri),0
Penobscot,HUDSON,President,,Ron Paul,R (wri),1
Penobscot,KENDUSKEAG,President,,Ron Paul,R (wri),5
Penobscot,KINGMAN TWP,President,,Ron Paul,R (wri),0
Penobscot,LAGRANGE,President,,Ron Paul,R (wri),1
Penobscot,LAKEVILLE,President,,Ron Paul,R (wri),0
Penobscot,LEE,President,,Ron Paul,R (wri),3
Penobscot,LEVANT,President,,Ron Paul,R (wri),3
Penobscot,LINCOLN,President,,Ron Paul,R (wri),2
Penobscot,LOWELL,President,,Ron Paul,R (wri),0
Penobscot,MATTAMISCONTIS TWP ,President,,Ron Paul,R (wri),0
Penobscot,MATTAWAMKEAG,President,,Ron Paul,R (wri),3
Penobscot,MATTAWAMKEAG TWPS ,President,,Ron Paul,R (wri),0
Penobscot,MAXFIELD,President,,Ron Paul,R (wri),1
Penobscot,MEDWAY,President,,Ron Paul,R (wri),0
Penobscot,MEDWAY ARO TWPS ,President,,Ron Paul,R (wri),0
Penobscot,MEDWAY PEN TWPS ,President,,Ron Paul,R (wri),0
Penobscot,MILFORD,President,,Ron Paul,R (wri),8
Penobscot,MILLINOCKET,President,,Ron Paul,R (wri),6
